@relation user-funness-rating

@attribute probBuildJump numeric
@attribute probBuildCannons numeric
@attribute probBuildHillStraight numeric
@attribute probBuildTubes numeric
@attribute probBuildStraight numeric
@attribute difficulty numeric
@attribute blocksCoins numeric
@attribute blocksEmpty numeric
@attribute blocksPower numeric
@attribute enemies numeric
@attribute fun numeric

@data
0.218945,0.292116,0.000000,0.000000,0.488940,2,5,12,5,5,1.000000
0.025839,0.328407,0.158372,0.358056,0.129326,0,1,3,0,0,0.000000
0.320054,0.366243,0.000000,0.023139,0.290565,3,2,12,2,10,1.000000
0.737608,0.031996,0.082614,0.000000,0.147781,4,0,4,0,6,0.000000
0.000000,0.104510,0.442754,0.185855,0.266881,2,4,7,0,21,1.000000
0.318951,0.033331,0.403017,0.244701,0.000000,1,0,0,0,6,0.000000
0.212301,0.115453,0.308912,0.210478,0.152856,2,0,10,1,12,0.000000
0.330114,0.073593,0.269589,0.326704,0.000000,1,0,0,0,8,0.000000
0.257810,0.180753,0.188433,0.000000,0.373004,2,4,5,1,2,1.000000
0.134459,0.018257,0.511294,0.206752,0.129238,2,4,7,0,22,1.000000
0.053076,0.000000,0.284483,0.434775,0.227666,1,3,8,2,5,1.000000
0.073736,0.343962,0.480523,0.033632,0.068146,1,0,0,1,11,1.000000
0.189215,0.138315,0.032914,0.001671,0.637886,0,14,22,1,0,1.000000
0.000000,0.300159,0.034294,0.394779,0.270768,4,0,15,0,9,1.000000
0.194315,0.203538,0.000000,0.165634,0.436513,3,6,13,2,11,1.000000
0.000000,0.238583,0.002429,0.213579,0.545409,3,3,12,4,14,1.000000
0.340795,0.009666,0.247575,0.125274,0.276689,0,7,13,0,1,1.000000
0.000000,0.239606,0.065387,0.358312,0.336695,0,17,21,3,1,1.000000
0.181188,0.000000,0.034714,0.000000,0.784098,1,8,18,2,2,1.000000
0.034013,0.320223,0.164401,0.000000,0.481363,0,19,31,3,0,1.000000
0.000000,0.230756,0.266144,0.000000,0.503100,0,9,24,3,0,1.000000
0.000000,0.272914,0.274086,0.032897,0.420103,2,3,12,0,10,0.000000
0.405726,0.374354,0.219920,0.000000,0.000000,3,2,3,1,66,0.000000
0.086386,0.024180,0.028542,0.595386,0.265505,3,7,16,1,19,0.000000
0.046600,0.000000,0.953400,0.000000,0.000000,2,4,1,0,21,0.000000
0.190714,0.155993,0.000000,0.303959,0.349334,4,4,9,0,8,0.000000
0.029427,0.000000,0.188690,0.341035,0.440848,2,10,32,7,7,0.000000
0.021657,0.576072,0.040784,0.000000,0.361486,1,12,24,9,7,1.000000
0.665733,0.104233,0.018357,0.025789,0.185887,0,0,2,0,0,1.000000
0.227677,0.241502,0.185917,0.000000,0.344904,2,0,0,0,0,0.000000
0.139570,0.373334,0.084541,0.275107,0.127447,1,4,4,3,3,1.000000
0.110382,0.397787,0.173825,0.035544,0.282461,1,6,12,0,8,1.000000
0.430849,0.313753,0.054788,0.000000,0.200609,0,1,7,1,0,0.000000
0.000000,0.103971,0.194383,0.482064,0.219583,3,1,2,0,34,0.000000
0.092782,0.179235,0.054245,0.316669,0.357068,1,13,38,4,6,1.000000
0.000000,0.151159,0.282704,0.514513,0.051624,0,4,0,0,0,1.000000
0.067138,0.000000,0.000000,0.854888,0.077974,0,1,4,0,3,1.000000
0.000000,0.078468,0.204340,0.375100,0.342092,3,10,17,0,18,0.000000
0.240047,0.618871,0.141082,0.000000,0.000000,2,0,0,0,10,0.000000
0.111151,0.199205,0.096443,0.166712,0.426490,1,8,17,3,2,1.000000
0.017483,0.132502,0.142716,0.154371,0.552928,0,17,30,4,0,1.000000
0.126000,0.123259,0.555288,0.079146,0.116307,0,6,15,3,0,1.000000
0.345735,0.000000,0.106070,0.224610,0.323586,2,2,9,1,2,0.000000
0.346120,0.000000,0.285387,0.113626,0.254867,2,4,8,2,11,1.000000
0.071312,0.194110,0.309827,0.424750,0.000000,4,2,1,0,76,0.000000
0.236457,0.198906,0.044776,0.380855,0.139006,0,4,11,3,2,1.000000
0.033137,0.000000,0.210252,0.080848,0.675763,1,14,19,2,5,1.000000
0.163045,0.049149,0.621041,0.002629,0.164137,1,4,7,1,14,1.000000
0.247043,0.514190,0.025202,0.000000,0.213565,2,5,3,0,2,1.000000
0.234397,0.129687,0.202754,0.195127,0.238036,1,6,13,3,9,1.000000
0.287209,0.130440,0.079167,0.411932,0.091252,0,0,3,0,2,1.000000
0.282902,0.000000,0.000000,0.229334,0.487763,1,7,15,3,1,1.000000
0.487301,0.033613,0.163702,0.000000,0.315384,4,2,10,0,13,0.000000
0.000000,0.491113,0.321965,0.085274,0.101649,1,2,12,2,8,0.000000
0.199649,0.145808,0.153982,0.318986,0.181575,1,2,7,1,5,1.000000
0.000000,0.128734,0.218639,0.361567,0.291060,1,3,8,2,4,1.000000
0.251652,0.153908,0.068931,0.000000,0.525510,1,11,25,3,2,1.000000
0.178181,0.119558,0.077465,0.391006,0.233791,1,5,7,2,5,1.000000
0.069252,0.000000,0.000000,0.073221,0.857528,2,8,28,1,5,1.000000
0.118431,0.149139,0.411893,0.115518,0.205020,1,7,13,0,8,1.000000
0.093314,0.000000,0.327137,0.579550,0.000000,1,2,5,0,14,1.000000
0.065277,0.057370,0.304667,0.173660,0.399026,2,5,13,4,14,0.000000
0.099144,0.322299,0.312903,0.004611,0.261044,1,6,7,1,12,1.000000
0.169577,0.000000,0.582993,0.091905,0.155526,1,3,6,0,14,0.000000
0.021622,0.255706,0.056532,0.403083,0.263057,2,8,10,3,5,0.000000
0.108813,0.000000,0.261151,0.458594,0.171441,2,2,4,0,12,0.000000
0.306320,0.186846,0.000000,0.291865,0.214969,2,5,12,3,4,0.000000
0.082770,0.058355,0.142984,0.437943,0.277948,3,3,3,2,16,0.000000
0.000000,0.148872,0.230110,0.017186,0.603832,2,10,24,2,2,1.000000
0.076649,0.551720,0.047732,0.000000,0.323900,4,5,6,1,5,0.000000
0.000000,0.000000,0.312167,0.202190,0.485643,0,8,19,0,1,1.000000
0.062413,0.000000,0.380395,0.105189,0.452003,2,4,8,0,18,0.000000
0.000000,0.020948,0.601343,0.377709,0.000000,1,0,0,0,12,1.000000
0.127261,0.000000,0.090370,0.319154,0.463215,0,8,21,3,0,1.000000
0.145132,0.000000,0.310769,0.544099,0.000000,0,1,5,0,2,1.000000
0.117188,0.000000,0.882812,0.000000,0.000000,1,3,6,1,13,0.000000
0.006540,0.000000,0.462215,0.332381,0.198864,1,3,7,2,4,1.000000
0.067898,0.243930,0.172095,0.455331,0.060746,0,1,4,1,2,0.000000
0.363409,0.000000,0.236682,0.304475,0.095435,2,0,0,0,12,0.000000
0.307378,0.148466,0.000000,0.000000,0.544157,0,9,20,0,0,1.000000
0.596362,0.242965,0.000000,0.061483,0.099190,2,2,5,1,1,0.000000
0.080179,0.379050,0.168491,0.000000,0.372279,2,4,9,1,4,0.000000
0.281088,0.300060,0.160892,0.257960,0.000000,1,2,5,0,4,1.000000
0.167469,0.000000,0.616709,0.163111,0.052711,0,4,11,3,0,1.000000
0.174627,0.079192,0.195027,0.173874,0.377280,2,6,14,1,9,0.000000
0.220616,0.292496,0.106947,0.229855,0.150085,0,3,12,7,3,1.000000
0.435105,0.000000,0.295346,0.174113,0.095437,1,1,3,0,13,1.000000
0.000000,0.046409,0.615007,0.165601,0.172983,2,1,3,0,17,0.000000
0.079674,0.200129,0.511880,0.208317,0.000000,2,3,5,0,23,0.000000
0.000000,0.095017,0.222360,0.426222,0.256401,4,5,7,0,53,0.000000
0.000000,0.229034,0.140701,0.434894,0.195370,4,2,12,0,34,0.000000
0.151443,0.169871,0.293939,0.126982,0.257765,2,5,6,3,8,0.000000
0.000000,0.000000,1.000000,0.000000,0.000000,0,1,0,0,0,1.000000
0.204303,0.302724,0.099669,0.000000,0.393305,0,9,19,2,0,1.000000
0.089415,0.531817,0.215641,0.136709,0.026419,0,0,6,0,1,1.000000
0.215634,0.073070,0.109782,0.169221,0.432293,2,6,27,1,4,0.000000
0.000000,0.538299,0.250618,0.000000,0.211083,0,5,11,3,0,1.000000
0.000000,0.260963,0.003805,0.271470,0.463762,1,16,41,5,3,1.000000
0.919080,0.012718,0.068202,0.000000,0.000000,3,0,0,0,22,0.000000
0.552338,0.234475,0.115313,0.097874,0.000000,0,0,3,0,3,1.000000
0.171731,0.114628,0.251686,0.043389,0.418565,2,5,7,3,11,0.000000
0.121341,0.000000,0.292151,0.288096,0.298412,2,5,11,1,8,1.000000
0.138119,0.000000,0.005414,0.773941,0.082527,0,0,2,1,4,0.000000
0.060217,0.181306,0.330734,0.225931,0.201812,1,4,8,1,12,0.000000
0.099877,0.000000,0.295248,0.491310,0.113564,1,1,6,0,6,1.000000
0.223857,0.000000,0.227182,0.334642,0.214319,3,6,13,3,48,0.000000
0.000000,0.000000,0.299799,0.077338,0.622863,1,8,33,4,6,1.000000
0.000000,0.072129,0.402919,0.428676,0.096276,0,7,20,1,2,1.000000
0.177148,0.000000,0.268681,0.420044,0.134127,0,0,0,0,0,1.000000
0.000000,0.441520,0.000000,0.044716,0.513764,0,16,60,3,0,1.000000
0.153536,0.542288,0.304176,0.000000,0.000000,4,0,6,0,49,0.000000
0.304818,0.205471,0.392991,0.041743,0.054976,2,0,3,0,14,0.000000
0.142450,0.205177,0.000000,0.217365,0.435008,3,6,15,2,11,0.000000
0.238634,0.216500,0.139093,0.195540,0.210234,0,3,10,2,0,1.000000
0.227969,0.067449,0.434743,0.000000,0.269839,1,2,8,1,7,1.000000
0.172439,0.449109,0.108623,0.269829,0.000000,0,0,0,0,1,1.000000
0.330956,0.000000,0.287779,0.327411,0.053853,0,0,1,0,1,1.000000
